Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
RODENTIA	MURIDAE	Abeomelomys	Abeomelomys_sevia	LC	unknown	0	NA	0.743212641	0.832813233	73	120	-0.391666667	-0.497032302	-0.107587859	-0.113827211	54.88	4.005148983	4
CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon_celebensis	VU	decreasing	1	1	0.879642135	0.615599029	85	52	0.634615385	0.491407538	0.428920603	0.356919336	384.84	5.952827663	6
CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon_mackloti	VU	decreasing	1	1	0.942871665	0.695094878	50	14	2.571428571	1.272965676	0.3564647	0.30488183	467.93	6.148318712	6
DIPROTODONTIA	ACROBATIDAE	Acrobates	Acrobates_pygmaeus	LC	stable	0	0	0.871405011	0.637769188	591	333	0.774774775	0.573673527	0.366332879	0.31213042	13.84	2.62756295	3
DIPROTODONTIA	POTOROIDAE	Aepyprymnus	Aepyprymnus_rufescens	LC	unknown	0	NA	0.917250603	0.509719528	247	45	4.488888889	1.702725847	0.799520232	0.587520092	2810.31	7.941050077	8
CHIROPTERA	PTEROPODIDAE	Aethalops	Aethalops_alecto	LC	unknown	0	NA	0.615049368	0.857787001	6	14	-0.571428571	-0.84729786	-0.282981244	-0.33265328	15	2.708050201	3
DIPROTODONTIA	PHALANGERIDAE	Ailurops	Ailurops_ursinus	VU	decreasing	1	1	0.836168439	0.593389182	99	49	1.020408163	0.703299552	0.409140011	0.342979597	10000	9.210340372	9
RODENTIA	MURIDAE	Anisomys	Anisomys_imitator	LC	stable	0	0	0.908809771	0.779056212	151	65	1.323076923	0.842892567	0.166552242	0.154052597	510.5	6.235390638	6
DASYUROMORPHIA	DASYURIDAE	Antechinomys	Antechinomys_laniger	LC	decreasing	0	1	0.858397766	0.609595876	1281	1102	0.162431942	0.150514312	0.408142345	0.34227135	25.57	3.241419789	3
DASYUROMORPHIA	DASYURIDAE	Antechinus	Antechinus_adustus	LC	decreasing	0	1	0.62828181	0.774449909	11	17	-0.352941176	-0.435318071	-0.188737963	-0.209164174	30.5	3.417726684	3
DASYUROMORPHIA	DASYURIDAE	Antechinus	Antechinus_agilis	LC	unknown	0	NA	0.919624531	0.762575772	89	14	5.357142857	1.84957904	0.205945119	0.187263591	22.13	3.096934154	3
DASYUROMORPHIA	DASYURIDAE	Antechinus	Antechinus_bellus	VU	decreasing	1	1	0.949153495	0.731948153	75	22	2.409090909	1.22644566	0.296749627	0.259860847	38.73	3.656614494	4
