Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon_jubatus	EN	decreasing	1	1	0.930550418	0.564107245	156	18	7.666666667	2.159484249	0.649598418	0.500531875	1087.04	6.991213685	7
CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon_leucotis	VU	decreasing	1	1	0.459782473	0.846851508	16	59	-0.728813559	-1.304948722	-0.457068366	-0.61077187	646.6033333	6.47173302	6
RODENTIA	MURIDAE	Acomys	Acomys_dimidiatus	LC	unknown	0	NA	0.724626461	0.92826721	18	43	-0.581395349	-0.870828358	-0.219377294	-0.247663337	50	3.912023005	4
RODENTIA	SCIURIDAE	Aeromys	Aeromys_tephromelas	DD	unknown	NA	NA	0.186070215	0.106306692	997	990	0.007070707	0.007045827	0.750315165	0.559795866	1187	7.079184395	7
RODENTIA	SCIURIDAE	Aeromys	Aeromys_thomasi	LC	unknown	0	NA	0.857022366	0.524574588	198	35	4.657142857	1.732918969	0.633747394	0.490876391	1430.19	7.265562582	7
CHIROPTERA	PTEROPODIDAE	Aethalops	Aethalops_aequalis	LC	unknown	0	NA	0.753771181	0.633831577	51	26	0.961538462	0.673729095	0.189229455	0.17330558	15	2.708050201	3
CHIROPTERA	PTEROPODIDAE	Aethalops	Aethalops_alecto	LC	unknown	0	NA	0.330487862	0.267706421	1014	701	0.446504993	0.369150297	0.234516005	0.210678995	15	2.708050201	3
CARNIVORA	AILURIDAE	Ailurus	Ailurus_fulgens	EN	decreasing	1	1	0.754277682	0.86602339	122	207	-0.410628019	-0.528697749	-0.129033129	-0.138151339	5170.08	8.550643441	9
CHIROPTERA	PTEROPODIDAE	Alionycteris	Alionycteris_paucidentata	LC	stable	0	0	0.641393539	0.799680508	15	39	-0.615384615	-0.955511445	-0.19793776	-0.220569068	16.24	2.787477335	3
RODENTIA	DIPODIDAE	Allactaga	Allactaga_hotsoni	LC	unknown	0	NA	0.49260154	0.89017799	19	119	-0.840336134	-1.834684514	-0.446625792	-0.59172082	76.5	4.337290741	4
RODENTIA	CRICETIDAE	Alticola	Alticola_roylei	NT	decreasing	0	1	0.532503083	0.727631604	22	67	-0.671641791	-1.113650166	-0.268169386	-0.312206193	37	3.610917913	4
RODENTIA	CRICETIDAE	Alticola	Alticola_stoliczkanus	LC	unknown	0	NA	0.919673321	0.882369775	34	30	0.133333333	0.125163143	0.042276546	0.041407307	30.14	3.405853193	3
SCANDENTIA	TUPAIIDAE	Anathana	Anathana_ellioti	LC	decreasing	0	1	0.921060044	0.536506008	514	129	2.984496124	1.382410861	0.716774892	0.540447468	160	5.075173815	5
EULIPOTYPHLA	SORICIDAE	Anourosorex	Anourosorex_assamensis	LC	unknown	0	NA	0.618167429	0.70605911	65	89	-0.269662921	-0.3142491	-0.124482043	-0.132939617	20	2.995732274	3
EULIPOTYPHLA	SORICIDAE	Anourosorex	Anourosorex_schmidi	DD	unknown	NA	NA	0.717602391	0.839385048	12	30	-0.6	-0.916290732	-0.145085569	-0.156753896	16.05244685	2.77586129	3
EULIPOTYPHLA	SORICIDAE	Anourosorex	Anourosorex_squamipes	LC	unknown	0	NA	0.572457958	0.730685069	519	817	-0.364749082	-0.453735212	-0.216546248	-0.244043247	20	2.995732274	3
EULIPOTYPHLA	SORICIDAE	Anourosorex	Anourosorex_yamashinai	LC	unknown	0	NA	0.906636213	0.480200842	18	2	8	2.197224577	0.888035451	0.635536845	8.157340556	2.098918204	2
CETARTIODACTYLA	BOVIDAE	Antilope	Antilope_cervicapra	NT	stable	0	0	0.871954866	0.546275833	833	485	0.717525773	0.540884751	0.596180563	0.467613627	36301.1	10.49960332	10
CARNIVORA	MUSTELIDAE	Aonyx	Aonyx_cinerea	VU	decreasing	1	1	0.667798183	0.77258788	2024	2429	-0.166735282	-0.182403899	-0.135634664	-0.145759757	3527.59	8.168370197	8
RODENTIA	MURIDAE	Apodemus	Apodemus_agrarius	LC	stable	0	0	0.894688874	0.861886887	456	485	-0.059793814	-0.061656081	0.038058343	0.03735199	21.11	3.049746862	3
RODENTIA	MURIDAE	Apodemus	Apodemus_chevrieri	LC	unknown	0	NA	0.587110248	0.836585945	244	532	-0.541353383	-0.779475264	-0.298206895	-0.354116641	32.9	3.493472658	3
RODENTIA	MURIDAE	Apodemus	Apodemus_draco	LC	stable	0	0	0.805667493	0.835601837	635	715	-0.111888112	-0.118657544	-0.035823693	-0.03648111	22.25	3.102342009	3
RODENTIA	MURIDAE	Apodemus	Apodemus_gurkha	LC	stable	0	0	0.794166772	0.912633171	4	9	-0.555555556	-0.810930216	-0.129807246	-0.139040536	39.9	3.686376324	4
RODENTIA	MURIDAE	Apodemus	Apodemus_latronum	LC	unknown	0	NA	0.801798297	0.829642401	62	83	-0.253012048	-0.291706223	-0.033561573	-0.03413769	35.2	3.561046083	4
RODENTIA	MURIDAE	Apodemus	Apodemus_pallipes	LC	unknown	0	NA	0.941687572	0.84114928	45	26	0.730769231	0.548565952	0.11952491	0.112904408	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Apodemus	Apodemus_peninsulae	LC	stable	0	0	0.741579881	0.877606417	134	181	-0.259668508	-0.300657231	-0.154997199	-0.168415337	32.9	3.493472658	3
RODENTIA	MURIDAE	Apodemus	Apodemus_semotus	LC	unknown	0	NA	0.962060955	0.53548755	18	2	8	2.197224577	0.796607513	0.585900171	25.77	3.249211025	3
RODENTIA	MURIDAE	Apomys	Apomys_abrae	LC	unknown	0	NA	0.559714507	0.844139509	11	31	-0.64516129	-1.036091932	-0.336940753	-0.410890931	34.88	3.551913599	4
RODENTIA	MURIDAE	Apomys	Apomys_datae	LC	unknown	0	NA	0.633164149	0.831138933	11	17	-0.352941176	-0.435318071	-0.23819698	-0.27206726	34.88	3.551913599	4
RODENTIA	MURIDAE	Apomys	Apomys_hylocetes	LC	stable	0	0	0.958881407	0.942360973	6	4	0.5	0.405465108	0.017530898	0.017379004	34.88	3.551913599	4
RODENTIA	MURIDAE	Apomys	Apomys_insignis	LC	decreasing	0	1	0.923696197	0.704459615	50	19	1.631578947	0.967584026	0.311212422	0.270952222	34.88	3.551913599	4
RODENTIA	MURIDAE	Apomys	Apomys_littoralis	DD	unknown	NA	NA	0.714379999	0.853470973	9	22	-0.590909091	-0.893817876	-0.162970949	-0.1778965	30.95	3.432372999	3
RODENTIA	MURIDAE	Apomys	Apomys_microdon	LC	unknown	0	NA	0.847173532	0.637390851	58	31	0.870967742	0.626455806	0.329127225	0.284522505	34.98	3.55477647	4
RODENTIA	MURIDAE	Apomys	Apomys_musculus	LC	stable	0	0	0.69443152	0.532103083	151	98	0.540816327	0.432312358	0.305069529	0.266256318	21.2	3.054001182	3
RODENTIA	MURIDAE	Soricomys	Archboldomys_musseri	LC	unknown	0	NA	0.689740212	0.877240587	11	17	-0.352941176	-0.435318071	-0.213738828	-0.240466262	35.34	3.565015467	4
CARNIVORA	VIVERRIDAE	Arctictis	Arctictis_binturong	VU	decreasing	1	1	0.754075573	0.802998695	1476	1691	-0.127143702	-0.135984344	-0.060925531	-0.062860496	12999.99	9.472703867	9
CARNIVORA	VIVERRIDAE	Arctogalidia	Arctogalidia_trivirgata	LC	decreasing	0	1	0.700205484	0.748658764	1410	1572	-0.103053435	-0.10875899	-0.064720113	-0.066909451	2323.79	7.750954752	8
CARNIVORA	MUSTELIDAE	Arctonyx	Arctonyx_collaris	VU	decreasing	1	1	0.524559881	0.676493705	1630	2819	-0.421780773	-0.547802197	-0.224590152	-0.254363553	8166.52	9.007798149	9
CHIROPTERA	VESPERTILIONIDAE	Arielulus	Arielulus_aureocollaris	LC	unknown	0	NA	0.831325474	0.61009579	73	11	5.636363636	1.892564168	0.362614671	0.309405406	10.4	2.341805806	2
CHIROPTERA	VESPERTILIONIDAE	Arielulus	Arielulus_circumdatus	LC	unknown	0	NA	0.397308695	0.566278373	738	1429	-0.483554934	-0.660786353	-0.298386246	-0.354372235	10.4	2.341805806	2
CHIROPTERA	VESPERTILIONIDAE	Arielulus	Arielulus_societatis	VU	decreasing	1	1	0.742488115	0.684965785	20	20	0	0	0.083978399	0.080637976	10.4	2.341805806	2
