Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
CETARTIODACTYLA	CERVIDAE	Alces	Alces_americanus	LC	increasing	0	0	0.780164076	0.135010749	5584	1066	4.238273921	1.65599204	4.778533052	1.754149853	541460.4	13.20202521	13
CARNIVORA	CANIDAE	Vulpes	Alopex_lagopus	LC	stable	0	0	0.510694104	0.393166727	9659	12999	-0.256942842	-0.296982308	0.298925032	0.261537024	3584.37	8.184338005	8
RODENTIA	SCIURIDAE	Ammospermophilus	Ammospermophilus_harrisii	LC	unknown	0	NA	0.903847846	0.535828519	165	40	3.125	1.41706602	0.686822954	0.522846851	126.57	4.840795515	5
RODENTIA	SCIURIDAE	Ammospermophilus	Ammospermophilus_interpres	LC	unknown	0	NA	0.516614602	0.344721175	237	266	-0.109022556	-0.115436168	0.498644815	0.404561243	112.53	4.723219853	5
RODENTIA	SCIURIDAE	Ammospermophilus	Ammospermophilus_leucurus	LC	stable	0	0	0.796455285	0.655333626	584	424	0.377358491	0.320167528	0.215343229	0.19502653	103.92	4.643621372	5
RODENTIA	SCIURIDAE	Ammospermophilus	Ammospermophilus_nelsoni	EN	decreasing	1	1	0.743335398	0.819025645	15	26	-0.423076923	-0.550046337	-0.09241499	-0.096968042	160.42	5.077795376	5
CHIROPTERA	PHYLLOSTOMIDAE	Anoura	Anoura_geoffroyi	LC	stable	0	0	0.959147937	0.695450263	98	3	31.66666667	3.48635519	0.37917546	0.321485828	15.15	2.718000532	3
CETARTIODACTYLA	ANTILOCAPRIDAE	Antilocapra	Antilocapra_americana	LC	stable	0	0	0.82981189	0.370608715	1903	622	2.059485531	1.118246775	1.239051203	0.806052206	47450.01	10.76743201	11
CHIROPTERA	VESPERTILIONIDAE	Antrozous	Antrozous_pallidus	LC	stable	0	0	0.729115618	0.497204854	1621	1187	0.365627633	0.311614127	0.466429002	0.382830195	22.24	3.101892469	3
RODENTIA	APLODONTIIDAE	Aplodontia	Aplodontia_rufa	LC	stable	0	0	0.844328367	0.576014599	236	162	0.456790123	0.37623547	0.465810709	0.382408474	806.21	6.692344254	7
RODENTIA	CRICETIDAE	Arborimus	Arborimus_albipes	LC	unknown	0	NA	0.924471837	0.614784886	57	24	1.375	0.864997437	0.503732213	0.40795016	23	3.135494216	3
RODENTIA	CRICETIDAE	Arborimus	Arborimus_longicaudus	NT	decreasing	0	1	0.915307113	0.630603707	50	18	1.777777778	1.021651248	0.451477533	0.372582026	22.39	3.108614431	3
RODENTIA	CRICETIDAE	Arborimus	Arborimus_pomo	NT	decreasing	0	1	0.573014921	0.597784122	32	24	0.333333333	0.287682072	-0.041435027	-0.042317932	32.49	3.48093235	3
CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	Artibeus_aztecus	LC	unknown	0	NA	0.982129411	0.743406132	69	6	10.5	2.442347035	0.321120943	0.278480576	20.81	3.03543364	3
CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Artibeus_hirsutus	LC	stable	0	0	0.948076554	0.720341604	41	9	3.555555556	1.516347489	0.316148545	0.274709703	40.42	3.699324712	4
CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Artibeus_jamaicensis	LC	stable	0	0	0.903691979	0.679897142	72	9	7	2.079441542	0.329159844	0.284547047	43.63	3.775744987	4
CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Artibeus_lituratus	LC	stable	0	0	0.922578133	0.683382052	101	9	10.22222222	2.41789594	0.35001809	0.300117992	59.3	4.082609306	4
CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	Artibeus_phaeotis	LC	stable	0	0	0.912759205	0.826246312	35	15	1.333333333	0.84729786	0.104705936	0.099579178	11.69	2.458733775	2
CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	Artibeus_toltecus	LC	unknown	0	NA	0.956349706	0.695331485	120	15	7	2.079441542	0.375386741	0.318734958	15.47	2.738902665	3
RODENTIA	CRICETIDAE	Baiomys	Baiomys_musculus	LC	stable	0	0	0.731534916	0.61135768	31	15	1.066666667	0.725937003	0.196574347	0.179462763	8.99	2.196112848	2
