Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
RODENTIA	CRICETIDAE	Abrawayaomys	Abrawayaomys_ruschii	LC	unknown	0	NA	0.71003699	0.884729036	8	14	-0.428571429	-0.559615788	-0.197452597	-0.219964357	62.99	4.142975984	4
RODENTIA	ABROCOMIDAE	Abrocoma	Abrocoma_bennettii	LC	unknown	0	NA	0.880660816	0.704922248	78	38	1.052631579	0.719122667	0.24930206	0.222585043	250.5	5.523458921	6
RODENTIA	ABROCOMIDAE	Abrocoma	Abrocoma_cinerea	LC	stable	0	0	0.916549911	0.868958011	205	138	0.485507246	0.395756294	0.05476893	0.05332172	193.64	5.266000765	5
RODENTIA	ABROCOMIDAE	Abrocoma	Abrocoma_famatina	DD	unknown	NA	NA	0.635949569	0.914736455	4	44	-0.909090909	-2.397895273	-0.304772905	-0.363516731	89.495	4.494182758	4
RODENTIA	CRICETIDAE	Abrothrix	Abrothrix_andinus	LC	unknown	0	NA	0.913942245	0.868724633	315	288	0.09375	0.089612159	0.052050571	0.050741184	24.91	3.215269329	3
RODENTIA	CRICETIDAE	Abrothrix	Abrothrix_illuteus	LC	decreasing	0	1	0.86155194	0.817391065	44	39	0.128205128	0.120627988	0.054026618	0.052617704	47.79	3.866816413	4
RODENTIA	CRICETIDAE	Abrothrix	Abrothrix_jelskii	LC	stable	0	0	0.95713588	0.888879348	244	155	0.574193548	0.453743108	0.076789422	0.073983856	34.5	3.540959324	4
RODENTIA	CRICETIDAE	Abrothrix	Abrothrix_lanosus	LC	stable	0	0	0.941983864	0.887910712	58	18	2.222222222	1.170071253	0.060899313	0.059116957	27.83	3.326114576	3
RODENTIA	CRICETIDAE	Abrothrix	Abrothrix_longipilis	LC	decreasing	0	1	0.969578216	0.781006174	434	119	2.647058824	1.293921041	0.241447569	0.216278093	38.86	3.659965444	4
RODENTIA	CRICETIDAE	Abrothrix	Abrothrix_markhami	LC	stable	0	0	0.713348189	0.894223882	12	46	-0.739130435	-1.343734747	-0.20227115	-0.225986526	30	3.401197382	3
RODENTIA	CRICETIDAE	Abrothrix	Abrothrix_olivaceus	LC	stable	0	0	0.869736616	0.814736099	637	609	0.045977011	0.044951388	0.067507156	0.06532617	24.52	3.199489111	3
RODENTIA	CRICETIDAE	Abrothrix	Abrothrix_sanborni	NT	decreasing	0	1	0.890476241	0.831320523	24	15	0.6	0.470003629	0.071158736	0.068740993	24.7	3.206803244	3
RODENTIA	OCTODONTIDAE	Aconaemys	Aconaemys_fuscus	LC	unknown	0	NA	0.951488517	0.750615185	57	17	2.352941176	1.209837924	0.267611601	0.237134501	129.95	4.867149761	5
RODENTIA	OCTODONTIDAE	Aconaemys	Aconaemys_porteri	DD	unknown	NA	NA	0.884862444	0.820549403	23	15	0.533333333	0.427444015	0.078378024	0.075458082	113.22	4.729332829	5
RODENTIA	OCTODONTIDAE	Aconaemys	Aconaemys_sagei	DD	unknown	NA	NA	0.773461124	0.837997182	20	40	-0.5	-0.693147181	-0.077012262	-0.080139329	96.49	4.569439376	5
RODENTIA	CRICETIDAE	Aegialomys	Aegialomys_xanthaeolus	LC	stable	0	0	0.873978812	0.822302659	160	153	0.045751634	0.044735894	0.062843227	0.060947607	79.79	4.379398183	4
RODENTIA	CRICETIDAE	Aepeomys	Aepeomys_lugens	LC	unknown	0	NA	0.510546145	0.834238232	11	22	-0.5	-0.693147181	-0.388009173	-0.491037986	37	3.610917913	4
RODENTIA	CRICETIDAE	Aepeomys	Aepeomys_reigi	VU	decreasing	1	1	0.43615015	0.821836144	8	41	-0.804878049	-1.634130525	-0.469297921	-0.633554473	37	3.610917913	4
RODENTIA	CRICETIDAE	Akodon	Akodon_aerosus	LC	stable	0	0	0.881032999	0.861409237	126	117	0.076923077	0.074107972	0.022780999	0.022525386	59.99	4.094177882	4
RODENTIA	CRICETIDAE	Akodon	Akodon_affinis	LC	stable	0	0	0.878090511	0.765385345	28	16	0.75	0.559615788	0.147252841	0.137370251	24.89	3.214466116	3
RODENTIA	CRICETIDAE	Akodon	Akodon_albiventer	LC	stable	0	0	0.923245259	0.841608481	180	98	0.836734694	0.607989372	0.097000898	0.09258	25.95	3.25617161	3
RODENTIA	CRICETIDAE	Akodon	Akodon_azarae	LC	stable	0	0	0.961426556	0.810910277	544	353	0.541076487	0.43248119	0.185613973	0.170260761	25.27	3.229617921	3
RODENTIA	CRICETIDAE	Neomicroxus	Akodon_bogotensis	LC	stable	0	0	0.651119369	0.699393928	70	75	-0.066666667	-0.068992871	-0.069023417	-0.071521155	12.99	2.564179831	3
RODENTIA	CRICETIDAE	Akodon	Akodon_boliviensis	LC	stable	0	0	0.892308536	0.855283381	134	79	0.696202532	0.528391947	0.043289927	0.042379111	27.5	3.314186005	3
RODENTIA	CRICETIDAE	Akodon	Akodon_budini	LC	stable	0	0	0.958455527	0.885408817	15	9	0.666666667	0.510825624	0.082500544	0.079273684	26.9	3.292126287	3
RODENTIA	CRICETIDAE	Akodon	Akodon_cursor	LC	unknown	0	NA	0.816422528	0.634943413	361	220	0.640909091	0.495250412	0.285819353	0.251396144	39.84	3.684871433	4
RODENTIA	CRICETIDAE	Akodon	Akodon_dayi	LC	stable	0	0	0.786937101	0.682314091	190	101	0.881188119	0.631903555	0.153335555	0.142658227	32.49	3.48093235	3
RODENTIA	CRICETIDAE	Akodon	Akodon_dolores	LC	stable	0	0	0.842431422	0.88129853	58	73	-0.205479452	-0.230016431	-0.044102091	-0.045104161	50.49	3.921775297	4
RODENTIA	CRICETIDAE	Akodon	Akodon_fumeus	LC	stable	0	0	0.938655149	0.767778603	102	29	2.517241379	1.257676983	0.222559662	0.200946744	22.69	3.121924299	3
RODENTIA	CRICETIDAE	Akodon	Akodon_iniscatus	LC	stable	0	0	0.91839287	0.795824129	284	135	1.103703704	0.74369946	0.15401486	0.143247045	28.7	3.356897123	3
RODENTIA	CRICETIDAE	Akodon	Akodon_juninensis	LC	stable	0	0	0.956146352	0.839824442	69	40	0.725	0.54522705	0.138507412	0.129718117	38.99	3.663305203	4
RODENTIA	CRICETIDAE	Akodon	Akodon_kofordi	LC	unknown	0	NA	0.914326971	0.855820402	36	21	0.714285714	0.538996501	0.068363139	0.0661277	29.49	3.384051223	3
RODENTIA	CRICETIDAE	Neomicroxus	Akodon_latebricola	VU	decreasing	1	1	0.715186099	0.873540846	10	28	-0.642857143	-1.029619417	-0.181279156	-0.200012102	38.99	3.663305203	4
RODENTIA	CRICETIDAE	Akodon	Akodon_lindberghi	DD	unknown	NA	NA	0.728888825	0.907883297	77	161	-0.52173913	-0.737598943	-0.197155816	-0.219594626	26.4	3.27336401	3
