Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
CARNIVORA	FELIDAE	Acinonyx	Acinonyx_jubatus	VU	NA	1	NA	0.809143676	0.718397699	1041	553	0.882459313	0.632579067	0.126317187	0.118953184	50577.92	10.8312704	11
RODENTIA	MURIDAE	Acomys	Acomys_airensis	LC	stable	0	0	0.876697162	0.721772347	237	6	38.5	3.676300672	0.214644985	0.194451841	38.657	3.654727871	4
RODENTIA	MURIDAE	Acomys	Acomys_cahirinus	LC	stable	0	0	0.369961377	0.372409434	2728	4152	-0.342967245	-0.420021406	-0.006573565	-0.006595266	41.16	3.717466911	4
RODENTIA	MURIDAE	Acomys	Acomys_dimidiatus	LC	unknown	0	NA	0.973796948	0.72609551	291	8	35.375	3.593881725	0.341141674	0.293521247	50	3.912023005	4
RODENTIA	MURIDAE	Acomys	Acomys_minous	DD	unknown	NA	NA	0.681451674	0.915331223	6	31	-0.806451613	-1.642227735	-0.255513571	-0.295060655	62.5	4.135166557	4
RODENTIA	MURIDAE	Acomys	Acomys_nesiotes	DD	unknown	NA	NA	0.634276003	0.954660467	4	26	-0.846153846	-1.871802177	-0.335600431	-0.408871549	36.66833977	3.601913706	4
RODENTIA	MURIDAE	Acomys	Acomys_russatus	LC	unknown	0	NA	0.021427296	0.033800259	8255	39	210.6666667	5.35501271	-0.366061185	-0.455802835	42.35	3.745968421	4
RODENTIA	MURIDAE	Acomys	Acomys_seurati	LC	stable	0	0	0.97928807	0.748119856	84	3	27	3.33220451	0.308998902	0.269262648	38.657	3.654727871	4
CETARTIODACTYLA	BOVIDAE	Addax	Addax_nasomaculatus	CR	NA	1	NA	0.794033011	0.879779042	375	986	-0.619675456	-0.966730329	-0.097463143	-0.102545751	96077.36	11.47290898	11
RODENTIA	SCIURIDAE	Aeretes	Aeretes_melanopterus	NT	decreasing	0	1	0.617725128	0.695660424	173	294	-0.411564626	-0.530288173	-0.112030659	-0.118818062	246.4344257	5.507095937	6
CARNIVORA	URSIDAE	Ailuropoda	Ailuropoda_melanoleuca	VU	NA	1	NA	0.303191321	0.302532246	193	38	4.078947368	1.625104029	0.002178528	0.002176158	118000	11.6784399	12
CARNIVORA	AILURIDAE	Ailurus	Ailurus_fulgens	EN	decreasing	1	1	0.815645237	0.586325385	391	70	4.585714286	1.720212318	0.391113634	0.330104602	5170.08	8.550643441	9
CETARTIODACTYLA	CERVIDAE	Alces	Alces_alces	LC	increasing	0	0	0.823794493	0.229064466	6644	1356	3.899705015	1.589175002	2.596343457	1.279917623	461900.8	13.04310543	13
CETARTIODACTYLA	CERVIDAE	Alces	Alces_americanus	LC	increasing	0	0	0.930896482	0.611085766	5150	2065	1.493946731	0.913866488	0.523348333	0.420910763	541460.4	13.20202521	13
RODENTIA	DIPODIDAE	Allactaga	Allactaga_balikunica	LC	unknown	0	NA	0.784933324	0.694070473	245	14	16.5	2.862200881	0.130913005	0.123025275	72.5	4.283586562	4
